AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,BORE_OIL_VOL
247.358,105.829,208.736,1
255.41,105.648,248.866,120
261.053,102.63,223.608,0
262.684,101.829,212.273,0
264.249,102.946,200.719,0
257.446,107.889,183.661,0
269.998,103.164,262.232,0
275.952,102.406,275.88,0
278.687,102.05,278.528,0
281.008,101.824,280.746,0
283.097,101.656,282.636,0
285.061,101.521,284.542,0
286.896,101.409,286.325,0
288.623,101.31,288.012,0
290.254,101.223,289.529,0
291.848,101.145,291.168,0
293.312,101.073,292.648,0
294.709,101.008,294.021,0
296.067,100.947,295.348,0
297.338,100.89,296.601,0
298.522,100.836,297.803,0
299.668,100.787,298.92,0
300.789,100.74,300.048,0
301.897,100.694,301.158,0
302.909,100.652,302.169,0
303.889,100.611,303.156,0
304.878,100.573,304.142,0
305.813,100.535,305.081,0
306.697,100.498,305.976,0
307.493,100.464,293.583,0
308.202,100.435,175.767,0
309.332,100.401,175.74,0
298.436,105.301,192.409,94
292.15,107.43,191.886,791
279.989,107.896,184.55,917
271.298,107.912,184.71,789
265.07,107.94,183.376,790
258.827,107.946,182.744,784
254.714,107.882,183.962,574
251.043,107.878,182.461,626
247.724,107.561,188.739,356
244.412,107.638,179.178,423
243.65,107.788,183.947,487
239.913,107.881,177.744,597
234.206,107.908,174.696,610
230.074,107.536,188.148,581
230.811,107.82,184.952,461
229.089,107.822,178.166,453
228.883,107.817,178.496,419
228.883,107.817,178.496,442
228.883,107.817,178.496,447
224.075,107.209,173.063,226
226.79,106.085,208.584,8
234.755,103.117,202.911,0
239.532,102.257,193.241,0
243.039,101.578,177.818,0
249.684,101.358,165.8,0
261.648,101.595,168.766,0
265.823,101.495,170.763,0
268.731,101.377,172.067,0
258.506,103.736,226.872,0
260.211,101.82,231.454,0
263.146,100.63,207.142,0
265.351,100.465,193.004,0
267.762,100.43,183.958,0
276.378,100.719,183.552,0
282.14,100.736,217.459,0
285.124,100.7,284.989,0
286.917,100.659,286.776,0
288.278,100.615,288.11,0
289.512,100.573,289.296,0
273.925,107.035,222.662,125
266.945,107.795,205.706,402
259.991,107.911,199.304,474
254.664,107.941,196.072,466
248.494,107.055,192.85,423
247.161,107.928,193.389,421
242.392,106.969,191.192,419
242.438,107.906,192.422,420
240.784,107.897,192.219,410
237.658,107.979,188.092,520
230.46,108.072,180.775,653
226.449,108.035,179.563,638
223.744,108.019,179.723,625
222.108,108.01,180.588,476
221.137,107.998,181.788,410
219.292,108.041,179.897,626
211.716,108.177,170.841,941
208.736,108.164,171.626,738
208.16,108.104,174.593,400
214.945,104.493,159.586,0
220.501,103.265,158.603,0
225.388,102.678,158.707,0
230.093,102.319,160.069,0
225.526,97.88,154.946,0
239.261,101.761,162.051,0
243.178,101.472,164.537,0
247.131,101.206,219.898,0
254.258,100.795,178.609,0
264.922,101.115,177.238,0
269.466,101.092,178.508,0
272.238,101.035,179.278,0
275.019,100.972,180.061,0
277.665,100.909,180.78,0
280.231,100.847,181.448,0
282.771,100.79,182.077,0
284.848,100.734,182.593,0
286.797,100.683,183.057,0
269.115,106.697,231.804,92
260.264,107.953,222.062,216
252.946,108.14,211.758,223
246.419,108.176,203.144,226
241.947,108.157,198.658,385
238.198,108.14,196.347,343
235.289,108.118,194.722,356
232.311,108.131,192.601,448
223.935,108.245,184.038,609
220.575,108.192,182.846,619
217.491,108.185,181.027,565
214.867,108.176,179.833,551
212.165,108.204,177.885,624
208.367,108.215,175.393,623
211.3,107.041,182.844,58
221.507,103.488,179.767,0
226.788,102.746,178.351,0
231.52,102.311,178.231,0
236.028,101.881,176.223,0
237.98,101.669,167.808,0
241.965,101.117,158.189,0
256.405,101.338,162.28,0
263.096,101.291,164.779,0
266.314,101.196,166.055,0
269.169,101.111,167.197,0
272.01,101.033,168.234,0
274.895,100.96,169.272,0
277.401,100.892,170.073,0
280.046,100.831,170.962,0
282.627,100.771,171.795,0
285.053,100.716,172.436,0
287.457,100.667,173.121,0
289.779,100.618,173.716,0
275.587,106.038,238.976,82
262.874,108.015,229.997,173
253.767,108.159,216.692,268
248.853,108.145,209.488,320
246.511,108.107,206.765,319
243.7,108.111,204.348,341
241.288,108.102,202.559,340
236.871,108.197,198.189,397
232.028,108.227,194.033,444
224.943,108.289,187.745,575
219.367,108.284,183.724,608
213.641,108.289,179.567,665
210.479,108.264,178.239,621
209.442,108.233,178.184,212
222.564,103.89,156.411,0
228.487,102.973,158.353,0
233.351,102.4,159.002,0
237.828,101.922,157.317,0
243.559,101.639,154.775,0
255.884,101.667,159.05,0
261.716,101.516,161.414,0
265.168,101.383,162.718,0
268.499,101.268,164.015,0
271.381,101.165,165.139,0
274.266,101.074,166.212,0
276.843,100.991,167.138,0
279.081,100.915,167.892,0
281.35,100.848,168.649,0
283.691,100.787,169.398,0
285.938,100.728,170.126,0
287.891,100.673,170.732,0
289.624,100.623,171.236,0
264.551,107.264,235.451,143
249.195,108.201,220.216,503
235.035,108.32,199.966,537
233.431,108.169,197.156,505
232.597,108.103,197.785,353
232.834,107.774,200.665,294
238.93,105.42,210.24,0
246.977,102.152,187.044,0
250.832,101.504,173.19,0
256.606,101.34,167.865,0
267.1,101.387,170.836,0
272.3,101.241,172.639,0
275.183,101.107,173.654,0
277.793,101.001,174.521,0
280.277,100.906,175.32,0
282.43,100.817,175.978,0
284.312,100.743,176.612,0
286.122,100.676,177.15,0
287.872,100.618,177.613,0
289.517,100.564,178.059,0
272.691,106.904,239.07,83
259.989,107.945,226.55,213
253.845,108.068,217.278,256
251.027,108.025,212.335,235
248.768,108.022,209.878,240
246.559,107.989,208.354,245
245.202,107.96,207.843,221
243.781,107.963,207.09,223
242.223,107.977,206.114,230
240.638,107.984,205.192,219
239.848,107.956,205.379,205
238.533,108.004,203.96,211
234.811,108.148,199.129,338
228.969,108.224,192.653,422
226.215,108.169,191.41,388
224.206,108.162,190.428,447
221.041,108.196,187.735,436
218.237,108.216,185.836,452
213.81,108.287,181.869,635
207.219,108.32,176.362,645
211.121,107.516,183.435,16
223.997,103.61,175.686,0
229.863,102.835,174.753,0
234.76,102.269,171.159,0
238.998,101.855,166.09,0
243.327,101.521,160.629,0
250.521,101.443,157.463,0
261.363,101.526,161.255,0
266.491,101.418,163.245,0
269.74,101.314,164.436,0
272.552,101.224,165.447,0
275.278,101.139,166.448,0
277.849,101.061,167.346,0
280.24,100.986,168.151,0
282.433,100.918,168.897,0
284.584,100.858,169.593,0
286.93,100.8,170.342,0
288.936,100.74,170.96,0
290.724,100.691,171.555,0
292.301,100.645,172.037,0
293.689,100.595,173.867,0
268.879,107.548,240.576,111
257.853,108.119,228.911,166
248.657,108.212,216.193,265
248.316,108.076,213.898,204
245.789,108.097,211.314,230
243.756,108.078,209.601,228
242.079,108.059,208.544,224
241.095,108.014,208.547,183
240.008,108.035,207.54,202
237.156,108.13,204.267,267
231.57,108.245,197.857,350
229.023,108.174,196.685,323
225.786,108.216,193.707,385
220.5,108.253,188.267,444
213.109,108.292,182.85,733
208.74,108.277,179.073,583
210.435,108.143,183.607,54
224.068,103.672,160.319,0
229.907,102.826,160.271,0
234.763,102.211,156.922,0
239.639,101.868,152.926,0
251.347,101.902,156.565,0
258.846,101.751,159.646,0
262.695,101.598,161.259,0
266.106,101.469,162.625,0
269.289,101.357,163.907,0
272.294,101.256,165.037,0
274.827,101.163,165.905,0
277.311,101.082,166.758,0
280.006,101.008,167.69,0
282.403,100.951,223.089,0
284.682,100.876,284.682,0
286.53,100.812,286.53,0
288.069,100.757,288.069,0
289.661,100.706,283.833,0
291.142,100.659,286.348,0
292.638,100.614,292.635,0
293.821,100.571,293.8,0
281.83,95.876,281.786,0
295.939,100.494,295.885,0
296.511,100.322,296.511,0
297.826,100.426,296.761,0
298.742,100.368,275.286,0
297.712,99.903,204.629,0
277.589,107.375,244.14,177
265.459,108.038,231.905,291
258.201,108.095,222.722,344
253.934,108.097,217.285,360
250.729,108.086,214.033,370
247.68,108.084,211.453,370
245.182,108.066,209.838,356
243.32,108.032,209.228,335
239.657,108.141,205.556,397
235.341,108.161,201.878,412
232.748,108.14,200.329,427
228.465,108.187,196.545,434
225.027,108.177,193.947,439
220.583,108.213,189.576,515
214.004,108.285,183.171,615
211.502,108.073,182.975,510
217.541,105.905,192.876,109
227.646,103.362,192.465,0
229.312,100.878,185.416,0
237.531,101.973,181.655,0
242.007,101.519,172.065,0
246.114,101.261,164.262,0
254.843,101.435,164.423,0
263.273,101.4,167.45,0
268.063,101.301,169.143,0
271.155,101.203,170.18,0
273.993,101.117,171.16,0
276.828,101.039,172.128,0
279.435,100.965,172.986,0
281.727,100.897,173.672,0
283.897,100.834,174.285,0
285.951,100.777,174.861,0
287.912,100.724,175.418,0
289.486,100.674,175.937,0
290.999,100.626,176.372,0
292.485,100.583,176.762,0
293.909,100.542,177.147,0
295.269,100.504,177.485,0
296.522,100.467,177.85,0
297.575,100.43,178.059,0
282.495,105.6,227.809,68
266.729,107.903,239.883,106
257.855,108.053,228.379,158
254.754,108.005,222.526,154
253.1,107.963,220.286,150
248.919,108.092,215.461,225
244.906,108.088,211.133,221
243.212,108.031,210.343,208
240.393,108.07,208.128,218
238.339,108.056,207.074,219
234.842,108.111,203.848,253
232.593,108.074,202.54,284
226.844,108.183,194.498,394
222.449,108.174,191.255,419
219.677,108.139,189.719,400
214.76,108.228,185.267,606
213.32,108.162,183.931,3
229.108,103.556,161.39,0
235.026,102.693,161.75,0
239.437,102.104,158.393,0
245.232,101.83,156.043,0
256.0,101.82,159.757,0
262.626,101.661,162.387,0
266.817,101.51,164.045,0
270.095,101.384,165.32,0
273.11,101.273,166.431,0
276.014,101.175,167.466,0
278.868,101.088,168.436,0
281.617,101.009,169.342,0
284.218,100.937,170.183,0
286.617,100.872,170.949,0
288.758,100.811,171.685,0
290.981,100.755,172.308,0
292.987,100.704,172.873,0
294.823,100.654,173.409,0
278.771,106.301,237.317,63
270.762,107.612,243.92,57
263.882,107.884,237.19,175
251.5,108.181,222.5,252
244.365,108.215,212.291,303
239.834,108.202,206.722,304
236.093,108.168,203.775,301
232.987,108.163,201.826,309
229.877,108.13,199.969,290
227.091,108.15,197.44,312
224.292,108.129,195.164,319
222.149,108.106,193.654,325
220.581,108.088,192.866,322
219.293,108.083,192.19,318
217.105,108.121,190.315,350
215.272,108.139,188.981,353
213.676,108.142,187.961,372
212.131,108.15,187.022,334
211.229,108.146,187.072,356
209.866,108.174,185.812,362
208.079,108.199,184.131,406
207.589,108.192,184.405,98
220.545,103.914,156.564,0
226.235,103.165,159.644,0
231.205,102.689,162.146,0
235.401,102.279,162.802,0
240.024,101.91,161.431,0
244.596,101.534,157.33,0
253.414,101.615,157.659,0
262.178,101.57,161.032,0
267.454,101.468,163.02,0
270.949,101.366,164.356,0
273.824,101.276,165.415,0
276.623,101.194,166.439,0
279.23,101.118,167.378,0
281.643,101.049,168.202,0
283.953,100.983,168.967,0
286.075,100.924,169.666,0
288.108,100.869,170.345,0
289.947,100.816,170.884,0
291.552,100.766,171.392,0
292.989,100.719,171.818,0
294.821,100.677,172.322,0
295.862,100.635,172.694,0
296.916,100.595,172.981,0
298.101,100.559,173.392,0
299.247,100.525,173.746,0
284.269,106.16,242.973,83
277.916,107.549,250.456,33
264.792,108.06,239.252,94
255.156,108.18,228.293,165
249.944,108.173,220.727,194
246.178,108.149,215.683,206
244.588,108.072,214.339,187
243.198,108.032,213.862,170
242.526,108.001,214.203,157
240.059,108.072,211.83,233
236.321,108.12,206.539,258
235.445,108.055,207.149,200
234.172,108.048,206.74,199
233.165,108.034,206.494,197
231.726,108.056,205.18,198
229.56,108.108,202.688,258
227.722,107.987,201.34,151
